"nt","np","dg","est","rep","design","error_flag","rvar_y","mean_alph","mean_beta","var_alph","cov_ab","var_beta","se_rvar_y","se_mean_alph","se_mean_beta","se_var_alph","se_cov_ab","se_var_beta","Chi-square : Value","Chi-square : Degrees of Freedom","Chi-square : P-Value","CFI","TLI","H0 Loglikelihood","H1 Loglikelihood","Number of Free Parameters","Akaike (AIC)","Bayesian (BIC)","Sample-Size Adjusted BIC","RMSEA : Estimate","RMSEA : Low CI","RMSEA : High CI","RMSEA : Probability","SRMR"
"28",14,100,"LCM","LCM",2,"reference",0,1.2531989,0.96951014,0.047550499,0.18655194,0.039769117,0.069571324,0.084032401,0.09144707,0.02845175,0.12876032,0.026129235,0.011453026,86.292292,76,0.19672536,0.98001521,0.98580028,-1166.3778,-1123.2317,6,2344.7556,2360.3866,2341.4371,0.036800121,0,0.070115238,0.70630169,0.14181509
"29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",14,100,"LCM","LCM",2,"random_5",0,1.1594342,1.0330534,0.034697074,0.119325,0.044024821,0.074386276,0.093142688,0.10754099,0.030490255,0.1744338,0.035316143,0.013143464,NA,113,NA,NA,NA,-905.94424,NA,6,1823.8885,1839.5195,1820.57,NA,NA,NA,NA,NA
"31",14,100,"LCM","LCM",2,"TCDM_8",0,1.2348528,0.92746621,0.048760224,0.1537303,0.047215708,0.06826923,0.071210518,0.080228724,0.027609557,0.094308108,0.022454415,0.010790573,61.362029,77,0.90363134,1,1.0160543,-1403.8829,-1373.2019,6,2819.7658,2835.3968,2816.4473,0,0,0.024777153,0.99517459,0.080172829
"32",14,100,"LCM","LCM",2,"random_8",0,1.2224381,1.0394534,0.037529729,0.23083758,0.051648803,0.069495164,0.070001431,0.091110706,0.028273014,0.11636291,0.026294472,0.011282923,164.85474,113,0.0010621864,0.93465473,0.94737682,-1402.0408,-1319.6134,6,2816.0816,2831.7127,2812.7631,0.067741528,0.043674347,0.08932016,0.10381888,0.125264
"33",14,300,"LCM","LCM",1,"complete",0,1.1770902,0.93874651,0.0194542,0.33660638,0.043480225,0.094813824,0.027744278,0.046162277,0.018256309,0.052682828,0.014629466,0.0081648799,90.214859,113,0.94366727,1,1.003642,-7050.2108,-7005.1034,6,14112.422,14134.644,14115.616,0,0,0.0052991956,0.99999999,0.027726971
"34",14,300,"LCM","LCM",1,"CSD_1dayOL",0,1.2656323,0.92324555,0.027297223,0.16291133,0.083333567,0.083440378,0.052849494,0.082802184,0.022457508,0.13556479,0.039305143,0.012433653,44.136638,57,0.89358754,1,1.0054426,-2897.2702,-2875.2019,6,5806.5404,5828.7631,5809.7347,0,0,0.016814711,0.99997839,0.14902246
"35",14,300,"LCM","LCM",1,"CSD_2dayOL",0,1.2796342,0.88607508,0.032484304,0.079114579,0.10148032,0.081713282,0.054920524,0.0896364,0.023170916,0.13526802,0.041712988,0.013254002,53.978694,59,0.66063182,1,1.0023356,-2741.5394,-2714.5501,6,5495.0788,5517.3015,5498.273,0,0,0.029760721,0.9996616,0.10129295
"36",14,300,"LCM","LCM",1,"reference",0,1.2362936,0.98969883,0.012942717,0.25791639,0.044608179,0.093263388,0.046966124,0.054927696,0.018666791,0.07236632,0.017719802,0.0085361302,69.81664,76,0.67772277,1,1.0025248,-3540.1649,-3505.2565,6,7092.3297,7114.5524,7095.524,0,0,0.027133413,0.99994103,0.065452146
"37",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38",14,300,"LCM","LCM",1,"random_5",0,1.1985081,0.97634858,0.015650759,0.31366879,0.046600029,0.097321197,0.054633182,0.067328915,0.01973016,0.10796872,0.023278363,0.0094774049,NA,113,NA,NA,NA,-2792.0739,NA,6,5596.1478,5618.3705,5599.3421,NA,NA,NA,NA,NA
"39",14,300,"LCM","LCM",1,"TCDM_8",0,1.1591351,0.95692533,0.015526891,0.33133331,0.048968628,0.094549745,0.038630489,0.051372521,0.018441275,0.06638623,0.016504636,0.0083339158,67.347562,77,0.77594974,1,1.0027781,-4229.4312,-4195.7574,6,8470.8623,8493.085,8474.0566,0,0,0.023258096,0.99998254,0.05664685
"40",14,300,"LCM","LCM",1,"random_8",0,1.1468755,0.92645818,0.019936573,0.28847376,0.040672783,0.096851312,0.037941057,0.052550379,0.018846348,0.066688076,0.017202895,0.0086971261,106.42399,113,0.65602263,1,1.0021187,-4193.494,-4140.2821,6,8398.9881,8421.2108,8402.1823,0,0,0.024915986,0.99999737,0.046698071
"41",14,300,"LCM","LCM",2,"complete",0,1.1755358,0.95555556,0.011261363,0.29206303,0.063989848,0.10966697,0.027707778,0.044510059,0.019564778,0.049048349,0.015205651,0.0093769617,121.29188,113,0.28003881,0.99848807,0.99878243,-7055.8371,-6995.1912,6,14123.674,14145.897,14126.868,0.015639639,0,0.033925366,0.99987803,0.039576532
"42",14,300,"LCM","LCM",2,"CSD_1dayOL",0,1.1346675,0.93365997,0.014923134,0.26543608,0.049145944,0.11367068,0.047512744,0.082459874,0.024270633,0.13491154,0.041160487,0.014532931,80.110042,57,0.023473721,0.98662737,0.99178873,-2859.7125,-2819.6575,6,5731.4251,5753.6478,5734.6193,0.036762269,0.014118082,0.054523298,0.88265689,0.11100468
"43",14,300,"LCM","LCM",2,"CSD_2dayOL",0,1.1991684,1.0696499,-0.013154644,0.23421305,0.091095679,0.10085797,0.051917672,0.092741974,0.024403347,0.15671745,0.046381865,0.014761393,69.505854,59,0.16462904,0.99319415,0.99573193,-2732.6586,-2697.9057,6,5477.3173,5499.54,5480.5115,0.024362903,0,0.044786969,0.98431085,0.083239834
"44",14,300,"LCM","LCM",2,"reference",0,1.1769202,0.94956148,0.010549683,0.30218771,0.051976562,0.1136426,0.045317173,0.05546603,0.020364299,0.078519844,0.019842418,0.010164734,79.992347,76,0.35487385,0.99801531,0.99858983,-3535.9084,-3495.9122,6,7083.8168,7106.0395,7087.011,0.013232647,0,0.036019354,0.99904289,0.061369158
"45",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46",14,300,"LCM","LCM",2,"random_5",0,1.2338248,0.91167253,0.018428897,0.26957333,0.069644101,0.10684364,0.056715563,0.065226324,0.020519489,0.10231935,0.023347078,0.010158828,NA,113,NA,NA,NA,-2816.4748,NA,6,5644.9496,5667.1723,5648.1438,NA,NA,NA,NA,NA
"47",14,300,"LCM","LCM",2,"TCDM_8",0,1.1684031,0.93073928,0.016060969,0.3003599,0.051445831,0.11110251,0.038886681,0.050477106,0.019886032,0.063668303,0.017449312,0.0096897921,99.833673,77,0.041210511,0.99139967,0.99385691,-4253.9536,-4204.0368,6,8519.9073,8542.13,8523.1015,0.031439954,0.0067634834,0.047773333,0.97114369,0.058084005
"48",14,300,"LCM","LCM",2,"random_8",0,1.1708388,0.94364572,0.0098348875,0.25384542,0.06591364,0.11022386,0.038829181,0.051924765,0.020010326,0.065748006,0.018124204,0.0098117469,115.22581,113,0.42410997,0.99917627,0.99933664,-4226.8414,-4169.2284,6,8465.6827,8487.9054,8468.8769,0.008102972,0,0.030592572,0.99997092,0.051002037
