"nt","np","dg","est","rep","design","error_flag","rvary","meanb1","inty","varb1","covb0b1","varb0","se_rvary","se_meanb1","se_inty","se_varb1","se_covb0b1","se_varb0","Chi-square : Value","Chi-square : Degrees of Freedom","Chi-square : P-Value","CFI","TLI","H0 Loglikelihood","H1 Loglikelihood","Number of Free Parameters","Akaike (AIC)","Bayesian (BIC)","Sample-Size Adjusted BIC","RMSEA : Estimate","RMSEA : Low CI","RMSEA : High CI","RMSEA : Probability","SRMR"
"34",14,300,"LCM","MLM",1,"CSD_1dayOL",0,1.4891852,-0.02581715,1.0179689,0.0041516662,-0.04701212,5.9119092,0.065155989,0.015193697,0.14374942,0.0056620915,0.037973187,0.50689238,NA,NA,NA,NA,NA,-3061.918,NA,6,6135.836,6168.1026,6149.0417,NA,NA,NA,NA,NA
"35",14,300,"LCM","MLM",1,"CSD_2dayOL",0,1.4684532,-0.029638915,1.0104006,0.0084002903,-0.0092232192,5.6001595,0.06732905,0.016366741,0.14028154,0.0065394566,0.039322802,0.48249705,NA,NA,NA,NA,NA,-2883.3003,NA,6,5778.6006,5810.4799,5791.4196,NA,NA,NA,NA,NA
"36",14,300,"LCM","MLM",1,"reference",0,3.0033264,-0.017656083,1.0454534,0.0042340532,-0.060103306,4.7140775,0.11449722,0.018877588,0.13144425,0.010355012,0.045657126,0.42466508,NA,NA,NA,NA,NA,-4206.1309,NA,6,8424.2617,8457.7152,8438.6531,NA,NA,NA,NA,NA
"37",14,300,"LCM","MLM",1,"TCDM_5",0,4.5554827,-0.032481464,1.0916512,0.0093128513,-0.13396426,4.1657808,0.22573959,0.029319286,0.13163899,0.021332346,0.066332623,0.42971721,NA,NA,NA,NA,NA,-3187.3932,NA,6,6386.7864,6418.0336,6398.9742,NA,NA,NA,NA,NA
"38",14,300,"LCM","MLM",1,"random_5",0,2.735499,-0.014005132,1.1112941,0.004840919,-0.099815795,5.3540352,0.12076369,0.020302795,0.14029468,0.010698058,0.052365219,0.48281537,NA,NA,NA,NA,NA,-3243.7379,NA,6,6499.4757,6531.3551,6512.2947,NA,NA,NA,NA,NA
"39",14,300,"LCM","MLM",1,"TCDM_8",0,3.2181407,-0.034898825,1.0606149,0.0059229966,-0.11538955,4.7519472,0.10599282,0.017590471,0.13112174,0.0084736636,0.042215709,0.42168866,NA,NA,NA,NA,NA,-5196.387,NA,6,10404.774,10439.473,10420.41,NA,NA,NA,NA,NA
"40",14,300,"LCM","MLM",1,"random_8",0,2.8408971,0.0085418035,1.0290544,0.0035792517,-0.11233957,4.7611082,0.093484597,0.01642223,0.13060796,0.0065431953,0.037105709,0.41797084,NA,NA,NA,NA,NA,-5061.1444,NA,6,10134.289,10168.988,10149.925,NA,NA,NA,NA,NA
"41",14,300,"LCM","MLM",2,"complete",0,3.0888954,-0.0050408251,1.0295088,0.0016609332,0.074608407,5.6237269,0.071711315,0.012404616,0.13958014,0.0046777472,0.033610565,0.47724717,NA,NA,NA,NA,NA,-8821.591,NA,6,17655.182,17693.239,17674.173,NA,NA,NA,NA,NA
"42",14,300,"LCM","MLM",2,"CSD_1dayOL",0,1.490659,-0.013668767,1.0216406,0.0015728215,0.0011633788,6.8282833,0.063491866,0.014838335,0.15397908,0.0060694644,0.043286767,0.58102555,NA,NA,NA,NA,NA,-3077.8048,NA,6,6167.6097,6199.8762,6180.8154,NA,NA,NA,NA,NA
"43",14,300,"LCM","MLM",2,"CSD_2dayOL",0,1.461544,0.013135694,1.015354,0.0027636548,0.025664691,6.7155713,0.06603357,0.015369459,0.15289495,0.006386632,0.043453351,0.57261645,NA,NA,NA,NA,NA,-2895.1154,NA,6,5802.2308,5834.1101,5815.0498,NA,NA,NA,NA,NA
"44",14,300,"LCM","MLM",2,"reference",0,3.3484281,0.011880018,1.0205876,0.0028595401,0.034781694,5.7595522,0.12633126,0.019670562,0.14471932,0.012363132,0.052933743,0.513524,NA,NA,NA,NA,NA,-4322.9947,NA,6,8657.9893,8691.4428,8672.3806,NA,NA,NA,NA,NA
"45",14,300,"LCM","MLM",2,"TCDM_5",0,4.6282515,-0.0072920349,1.0342391,0.0079950404,0.1490814,6.1459761,0.20648114,0.027362417,0.15361248,0.022335466,0.080866599,0.58021406,NA,NA,NA,NA,NA,-3585.2023,NA,6,7182.4046,7214.284,7195.2236,NA,NA,NA,NA,NA
"46",14,300,"LCM","MLM",2,"random_5",0,3.2535736,0.034213302,1.0078565,0.0085617164,0.17208822,5.4483399,0.1437447,0.02297842,0.14263866,0.01437817,0.060390709,0.49944525,NA,NA,NA,NA,NA,-3352.4982,NA,6,6716.9964,6748.8757,6729.8154,NA,NA,NA,NA,NA
"47",14,300,"LCM","MLM",2,"TCDM_8",0,3.6058098,-0.0015174127,1.0333149,0.0050728248,0.12447358,5.4079983,0.11727636,0.018574813,0.13977739,0.009823645,0.049817358,0.479026,NA,NA,NA,NA,NA,-5332.4586,NA,6,10676.917,10711.616,10692.553,NA,NA,NA,NA,NA
"48",14,300,"LCM","MLM",2,"random_8",0,3.0685355,0.0051173551,1.0202039,0.0050789485,0.1350513,5.5701972,0.099913523,0.016939313,0.14089584,0.0082908958,0.044199171,0.48639156,NA,NA,NA,NA,NA,-5165.6997,NA,6,10343.399,10378.099,10359.035,NA,NA,NA,NA,NA
